steps	elapsed	mean	median	stdev
steps	elapsed	mean	median	stdev
1000000	2200.8098499774933	1.8	1.0	2.0976176963403033
2000000	4365.650247097015	1.4	1.0	1.3498971154211057
3000000	6535.5739669799805	2.5	2.5	2.592724864350674
4000000	8674.02974152565	1.1	0.0	1.8529256146249728
5000000	10821.25697016716	2.4	2.0	2.988868236194653
6000000	12963.11321926117	3.2	2.0	3.32665998663324
7000000	15097.690927505493	1.7	1.5	1.1595018087284057
8000000	17256.12326335907	4.6	4.5	4.115013163202924
9000000	19440.262534618378	10.5	10.5	4.600724580614087
10000000	21609.009310245514	11.2	10.0	4.756282395129858
11000000	23802.469741106033	19.1	18.5	5.384133067531754
12000000	25994.993019342422	22.7	20.0	9.718824803213378
13000000	28194.473851680756	32	24.5	17.113996870657914
14000000	30408.675287246704	60.2	49.5	27.438010941838414
15000000	32607.96129179001	84.6	69.0	47.777726098163264
16000000	34808.225687265396	116.7	99.5	55.5938645695528
17000000	37006.41777896881	165.3	140.0	98.17224092832397
